User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
jsmit344,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,8,8,0,,,,
jspinney,2018-06-23T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,10,2,1,,,,
jstev53,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,7,20,0,,,,
jstoll2,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,30,6,0,,,,
jtalmo,2018-06-16T00:00:00.000-05:00,2018-06-16T00:00:00.000-05:00,8,0,0,,,,
jtalmo,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,5,0,0,,,,
jtaylo99,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,5,7,0,,,,
jtaylo99,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,15,7,0,,,,
jtaylo99,2018-06-24T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,5,7,0,,,,
jwachte,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,6,3,0,,,,
jwantj1,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,8,2,0,,,,
jwil314,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,16,12,0,,,,
jwill295,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,15,6,0,,,,
jwoldem,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,11,10,0,,,,
kanilba,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,10,6,0,,,,
